date,"(37.9676,-119.138)","(37.9785,-119.04)","(37.9894,-118.943)","(38.0557,-119.054)","(38.0665,-118.956)",Year_Month,AverageVal
20020101,0,0,0,0,0,200201,0
20020102,0,0,0,0,0,200201,0
20020103,11.57512665,6.208935738,8.308926582,5.347725868,5.300000191,200201,7.348143005
20020104,0.08829768,0,0.198422521,0,0,200201,0.05734404
20020105,0,0,0,0,0,200201,0
20020106,0,0,0,0,0,200201,0
20020107,,,0,,0,200201,0
20020108,0,0,0,0,0,200201,0
20020109,0,0,0,0,0,200201,0
20020110,0.031172315,0,0,0,0,200201,0.006234463
20020111,0,0,0,0,0,200201,0
20020112,0,0,0,0,0,200201,0
20020113,0,0,0,0,0,200201,0
20020114,0,0,0,0,0,200201,0
20020115,0,0,0,0,0,200201,0
20020116,0,0,0,0,0,200201,0
20020117,0,0,0,0,0,200201,0
20020118,0,0,0,0,0,200201,0
20020119,0,0,0,0,0,200201,0
20020120,0,0,0,0,0,200201,0
20020121,0,0,0,0,0,200201,0
20020122,0,0,0,0,0,200201,0
20020123,0,0,0,0,0,200201,0
20020124,0,0,0,0,0,200201,0
20020125,0,0,0,0,0,200201,0
20020126,0,0,0,0,0,200201,0
20020127,2.782767296,1.330822587,1.618272424,1.141446948,1.005140066,200201,1.575689864
20020128,5.648981571,3.641525507,4.948103905,2.643086195,2.941123962,200201,3.964564228
20020129,3.903607368,2.424409628,3.140688658,2.038180828,2.020527124,200201,2.705482721
20020130,0,0,0,0,0,200201,0
20020131,0,0,0,0,0,200201,0
20020201,0,0,0,0,0,200202,0
20020202,0,0,0,0,0,200202,0
20020203,0,0,0,0,0,200202,0
20020204,0,0,0,0,0,200202,0
20020205,0,0,0,0,0,200202,0
20020206,0,0,0,0,0,200202,0
20020207,0,0,0,0,0,200202,0
20020208,7.973280907,4.693765163,6.651943684,4.812594414,4.800000191,200202,5.786316872
20020209,0,0,0,0,0,200202,0
20020210,0,0,0,0,0,200202,0
20020211,0,0,0,0,0,200202,0
20020212,0,0,0,0,0,200202,0
20020213,0.244159251,0,0,0.038180709,0,200202,0.056467992
20020214,0.479705274,0.090174131,0.198422521,0,0,200202,0.153660385
20020215,0,0,0,0,0,200202,0
20020216,0.499116659,0.300000012,0.432281673,0.300000012,0.300000012,200202,0.366279674
20020217,7.376701832,4.209825993,5.490535259,4.400224209,4.300000191,200202,5.155457497
20020218,6.975711346,4.088881493,5.802384377,3.523862839,3.8861866,200202,4.855405331
20020219,1.694180846,0.58951813,0.707000494,0.524617493,0.717914224,200202,0.846646237
20020220,1.89552474,1.209825873,1.432281733,1.362922549,1.303426623,200202,1.440796304
20020221,0.526809454,0.300000012,0.432281673,0.285682231,0.300000012,200202,0.368954676
20020222,0,0,0,0,0,200202,0
20020223,0,0,0,0,0,200202,0
20020224,0,0,0,0,0,200202,0
20020225,0,0,0,0,0,200202,0
20020226,0,0,0,0,0,200202,0
20020227,0,0,0,0,0,200202,0
20020228,,,0,,0,200202,0
20020301,0,0,0,0,0,200203,0
20020302,0,0,0,0,0,200203,0
20020303,0,0,0,0,0,200203,0
20020304,0,0,0,0,0,200203,0
20020305,0,0,0,0,0,200203,0
20020306,0,0,0,0,0,200203,0
20020307,9.497150421,5.599997044,7.12679863,4.499427795,4.337638378,200203,6.212202454
20020308,7.018783569,3.73570323,4.888673782,2.985109806,2.96337533,200203,4.318329144
20020309,0,0,0,0,0,200203,0
20020310,0.199116662,0,0,0,0,200203,0.039823332
20020311,2.276171923,1.070645094,1.190134645,0.892707109,0.803426683,200203,1.246617091
20020312,0,0,0,0,0,200203,0
20020313,0,0,0,0,0,200203,0
20020314,0.140743375,0,0,0.01477048,0,200203,0.031102771
20020315,0,0,0,0,0,200203,0
20020316,1.056551337,0.312472045,0.417145163,0,0,200203,0.357233709
20020317,0.087559938,0,0,0,0,200203,0.017511988
20020318,1.752554178,0.752793312,0.78571564,0.514770508,0.5,200203,0.861166728
20020319,0.571852088,0.300000012,0.291422039,0.309545189,0.080604203,200203,0.310684706
20020320,0,0,0,0,0,200203,0
20020321,0,0,0,0,0,200203,0
20020322,0,0,0,0,0,200203,0
20020323,2.437574625,1.270706415,1.618272424,1.150992155,1.025667071,200203,1.500642538
20020324,5.606996059,3.317996979,5.006528378,2.717142344,3.234083176,200203,3.976549387
20020325,1.89144516,0.969763875,1.313838363,0.809545159,0.580604196,200203,1.113039351
20020326,0,0,0,0,0,200203,0
20020327,0,0,0,0,0,200203,0
20020328,0,0,0,0,0,200203,0
20020329,0.469598562,0.016060626,0,0.082857579,0,200203,0.113703353
20020330,0,0,0,0,0,200203,0
20020331,0,0,0,0,0,200203,0
20020401,0,0,0,0,0,200204,0
