Date,"(38.0,-119.0)_evaow_m of water equivalent","(38.0,-119.1)_evaow_m of water equivalent",Time_hours since 1900-01-01 00:00:00.0,
Jan-50,-1.47E-08,3.65E-08,438288,1.33E-05
Feb-50,-1.47E-08,-1.47E-08,439032,
Mar-50,-1.47E-08,-1.47E-08,439704,
Apr-50,-0.00011581,-1.47E-08,440448,
May-50,-0.000567781,-8.76E-05,441168,
Jun-50,-0.000256945,-0.000839352,441912,
Jul-50,-0.000190703,-0.000412005,442632,
Aug-50,-6.39E-05,-0.000102654,443376,
Sep-50,-0.000378474,-0.000556724,444120,
Oct-50,-0.000113507,-8.50E-05,444840,
Nov-50,-0.000108234,-7.29E-05,445584,
Dec-50,-3.11E-05,3.65E-08,446304,
Jan-51,-2.37E-05,3.65E-08,447048,
Feb-51,-1.47E-08,-1.47E-08,447792,
Mar-51,-0.000107619,-1.47E-08,448464,
Apr-51,-0.000438113,-6.11E-05,449208,
May-51,-0.000566501,-0.000650711,449928,
Jun-51,-0.000232681,-0.000478861,450672,
Jul-51,-0.000135212,-0.000217374,451392,
Aug-51,-0.00019229,-0.000406579,452136,
Sep-51,-5.16E-05,-4.98E-05,452880,
Oct-51,-5.22E-05,-0.000102193,453600,
Nov-51,-0.000110742,-0.000152412,454344,
Dec-51,-1.47E-08,3.65E-08,455064,
Jan-52,-1.47E-08,3.65E-08,455808,
Feb-52,-1.47E-08,-1.47E-08,456552,
Mar-52,-1.47E-08,-1.47E-08,457248,
Apr-52,-1.47E-08,-1.47E-08,457992,
May-52,-0.000449528,-6.95E-05,458712,
Jun-52,-0.000339671,-0.000755552,459456,
Jul-52,-0.000201095,-0.000423165,460176,
Aug-52,-0.000382979,-0.000534046,460920,
Sep-52,-0.00016992,-0.000344637,461664,
Oct-52,-7.90E-05,-0.000104804,462384,
Nov-52,-1.55E-05,-1.05E-05,463128,
Dec-52,-1.47E-08,3.65E-08,463848,
Jan-53,-1.47E-08,3.65E-08,464592,
Feb-53,-1.47E-08,-1.47E-08,465336,
Mar-53,-1.47E-08,-1.47E-08,466008,
Apr-53,-0.000165415,-1.47E-08,466752,
May-53,-0.000557491,-0.000106288,467472,
Jun-53,-0.000456644,-0.000690538,468216,
Jul-53,-0.000149904,-0.00040064,468936,
Aug-53,-7.90E-05,-9.91E-05,469680,
Sep-53,-0.000109155,-0.000295697,470424,
Oct-53,-0.000121083,-0.000169049,471144,
Nov-53,-9.19E-05,-0.000133778,471888,
Dec-53,-1.57E-05,-3.29E-06,472608,
Jan-54,-3.57E-05,-2.57E-06,473352,
Feb-54,-1.47E-08,-1.47E-08,474096,
Mar-54,-1.47E-08,-1.47E-08,474768,
Apr-54,-0.000150928,-1.71E-05,475512,
May-54,-0.000505532,-0.000727345,476232,
Jun-54,-0.000250546,-0.000441696,476976,
Jul-54,-0.000185328,-0.000257764,477696,
Aug-54,-6.94E-05,-6.04E-05,478440,
Sep-54,-6.11E-05,-7.42E-05,479184,
Oct-54,-3.53E-05,-1.75E-05,479904,
Nov-54,-5.69E-05,-2.07E-05,480648,
Dec-54,-6.29E-07,3.65E-08,481368,
Jan-55,-1.47E-08,3.65E-08,482112,
Feb-55,-1.47E-08,-1.47E-08,482856,
Mar-55,-1.47E-08,-1.47E-08,483528,
Apr-55,-0.000171609,-1.47E-08,484272,
May-55,-0.000556519,-9.46E-05,484992,
Jun-55,-0.000361325,-0.000801368,485736,
Jul-55,-0.00021333,-0.000449068,486456,
Aug-55,-0.000102398,-0.000127943,487200,
Sep-55,-0.000192342,-0.000265699,487944,
Oct-55,-0.000106033,-9.29E-05,488664,
Nov-55,-4.44E-05,-3.81E-05,489408,
Dec-55,-5.78E-07,-1.47E-08,490128,
Jan-56,-1.47E-08,3.65E-08,490872,
Feb-56,-1.47E-08,-1.47E-08,491616,
Mar-56,-1.47E-08,-1.47E-08,492312,
Apr-56,-5.83E-05,-1.47E-08,493056,
May-56,-0.000615543,-9.55E-05,493776,
Jun-56,-0.00014888,-0.000687467,494520,
Jul-56,-0.00022792,-0.000473742,495240,
Aug-56,-6.25E-05,-0.000213688,495984,
Sep-56,-7.32E-05,-0.000158402,496728,
Oct-56,-8.96E-05,-0.000242509,497448,
Nov-56,-0.000117397,-0.000146525,498192,
Dec-56,-6.83E-05,-0.000101784,498912,
Jan-57,-2.14E-05,-2.66E-05,499656,
Feb-57,-1.47E-08,-1.47E-08,500400,
Mar-57,-3.44E-05,-1.47E-08,501072,
Apr-57,-0.00047067,-6.44E-05,501816,
May-57,-0.000483622,-0.000204423,502536,
Jun-57,-0.000567883,-0.000757804,503280,
Jul-57,-0.000174578,-0.000191369,504000,
Aug-57,-0.00012482,-0.000137413,504744,
Sep-57,-0.000158965,-0.000290374,505488,
Oct-57,-0.000165466,-0.000310031,506208,
Nov-57,-2.37E-05,-1.72E-05,506952,
Dec-57,-3.28E-05,-1.64E-05,507672,
Jan-58,-1.47E-08,3.65E-08,508416,
Feb-58,-1.47E-08,-1.47E-08,509160,
Mar-58,-1.47E-08,-1.47E-08,509832,
Apr-58,-1.47E-08,-1.47E-08,510576,
May-58,-0.000389532,-6.05E-05,511296,
Jun-58,-0.000355489,-0.00079328,512040,
Jul-58,-0.000163725,-0.000422653,512760,
Aug-58,-0.000314536,-0.000737379,513504,
Sep-58,-8.54E-05,-0.00018195,514248,
Oct-58,-4.28E-05,-4.70E-05,514968,
Nov-58,-3.54E-05,-6.21E-05,515712,
Dec-58,-8.82E-05,-0.000146218,516432,
Jan-59,-4.31E-06,-6.59E-08,517176,
Feb-59,-1.47E-08,-1.47E-08,517920,
Mar-59,-1.47E-08,-1.47E-08,518592,
Apr-59,-0.000424752,-7.05E-05,519336,
May-59,-0.000523091,-0.000693763,520056,
Jun-59,-0.000206931,-0.000462531,520800,
Jul-59,-0.000179237,-0.000395009,521520,
Aug-59,-0.000107978,-0.000264624,522264,
Sep-59,-0.000250546,-0.00044272,523008,
Oct-59,-8.17E-05,-0.000145194,523728,
Nov-59,-5.18E-05,-6.15E-05,524472,
Dec-59,-1.86E-05,-1.80E-05,525192,
Jan-60,-1.47E-08,-1.47E-08,525936,
Feb-60,-1.47E-08,-1.47E-08,526680,
Mar-60,-9.98E-05,-1.47E-08,527376,
Apr-60,-0.000477632,-9.97E-05,528120,
May-60,-0.000332863,-0.00073057,528840,
Jun-60,-0.000134034,-0.000319143,529584,
Jul-60,-0.000241639,-0.000544438,530304,
Aug-60,-0.000166234,-0.000324058,531048,
Sep-60,-0.00010634,-0.00025372,531792,
Oct-60,-0.000165415,-0.000314331,532512,
Nov-60,-8.82E-06,-9.74E-06,533256,
Dec-60,-1.47E-08,3.65E-08,533976,
Jan-61,-1.47E-08,3.65E-08,534720,
Feb-61,-1.47E-08,-1.47E-08,535464,
Mar-61,-4.24E-07,-1.47E-08,536136,
Apr-61,-0.000451985,-2.05E-05,536880,
May-61,-0.000481165,-0.000402893,537600,
Jun-61,-0.00053036,-0.000881022,538344,
Jul-61,-0.000271177,-0.000570852,539064,
Aug-61,-0.000465961,-0.000842987,539808,
Sep-61,-0.000267798,-0.000629467,540552,
Oct-61,-0.0001218,-0.000190601,541272,
Nov-61,-7.59E-05,-0.000154204,542016,
Dec-61,-1.47E-08,3.65E-08,542736,
Jan-62,-1.47E-08,3.65E-08,543480,
Feb-62,-1.47E-08,-1.47E-08,544224,
Mar-62,-1.47E-08,-1.47E-08,544896,
Apr-62,-1.47E-08,-1.47E-08,545640,
May-62,-0.000532919,-9.03E-05,546360,
Jun-62,-0.000649892,-0.000890954,547104,
Jul-62,-0.000337316,-0.000616976,547824,
Aug-62,-7.87E-05,-9.48E-05,548568,
Sep-62,-9.73E-05,-0.000137874,549312,
Oct-62,-0.00023396,-0.000356206,550032,
Nov-62,-9.76E-05,-0.00018456,550776,
Dec-62,-6.64E-05,-0.000131065,551496,
Jan-63,-8.10E-05,-0.000164289,552240,
Feb-63,-1.47E-08,-1.47E-08,552984,
Mar-63,-1.47E-08,-1.47E-08,553656,
Apr-63,-1.47E-08,-1.47E-08,554400,
May-63,-0.000519814,-6.75E-05,555120,
Jun-63,-0.000660131,-0.000962059,555864,
Jul-63,-0.000218449,-0.000184049,556584,
Aug-63,-0.000122516,-0.00013644,557328,
Sep-63,-0.000220855,-0.000338135,558072,
Oct-63,-0.000192598,-0.00030568,558792,
Nov-63,-7.26E-05,-3.40E-05,559536,
Dec-63,-2.22E-06,3.65E-08,560256,
Jan-64,-4.81E-05,3.65E-08,561000,
