Date,"(37.875,-119.125)","(38.125,-119.125)",GLDAS
1/1/1948,1.47E-06,2.31E-06,0.199119685
2/1/1948,3.11E-06,4.57E-06,0.379148038
3/1/1948,1.17E-05,1.34E-05,1.323233889
4/1/1948,1.76E-05,1.81E-05,1.81727013
5/1/1948,9.84E-06,1.17E-05,1.134510292
6/1/1948,8.62E-06,9.77E-06,0.938175599
7/1/1948,1.94E-08,2.90E-08,0.002551181
8/1/1948,1.29E-07,1.87E-07,0.016667716
9/1/1948,4.79E-08,8.58E-08,0.00682441
10/1/1948,5.58E-06,6.49E-06,0.636073233
11/1/1948,3.43E-07,6.90E-07,0.052703148
12/1/1948,4.33E-06,6.83E-06,0.58838739
1/1/1949,7.10E-07,1.59E-06,0.121032286
2/1/1949,5.46E-06,5.23E-06,0.509024396
3/1/1949,1.13E-05,1.66E-05,1.468587441
4/1/1949,1.25E-06,1.89E-06,0.160533076
5/1/1949,1.51E-05,1.95E-05,1.824009381
6/1/1949,6.46E-08,1.13E-07,0.009035433
7/1/1949,1.49E-07,2.74E-07,0.022322835
8/1/1949,9.77E-07,1.10E-06,0.10931811
9/1/1949,1.20E-07,2.17E-07,0.017177952
10/1/1949,3.53E-07,5.96E-07,0.050045667
11/1/1949,1.21E-05,1.39E-05,1.327145686
12/1/1949,5.86E-06,6.40E-06,0.646044105
1/1/1950,3.35E-07,2.86E-06,0.168186618
2/1/1950,1.13E-05,1.52E-05,1.259029161
3/1/1950,1.01E-05,1.25E-05,1.195759817
4/1/1950,1.11E-05,1.27E-05,1.215191364
5/1/1950,4.69E-06,4.97E-06,0.508939392
6/1/1950,1.45E-06,2.05E-06,0.178731493
7/1/1950,3.17E-06,3.07E-06,0.328762206
8/1/1950,1.04E-06,6.71E-07,0.090120468
9/1/1950,4.44E-06,7.58E-06,0.613452747
10/1/1950,1.64E-05,1.82E-05,1.825391393
11/1/1950,4.42E-05,5.06E-05,4.839951798
12/1/1950,2.74E-05,3.44E-05,3.258517292
1/1/1951,6.23E-06,9.38E-06,0.822904762
2/1/1951,7.13E-06,1.04E-05,0.832662972
3/1/1951,5.13E-06,4.98E-06,0.532899188
4/1/1951,1.31E-05,1.74E-05,1.55428581
5/1/1951,4.30E-06,5.78E-06,0.531304728
6/1/1951,5.62E-06,6.03E-06,0.594510238
7/1/1951,3.72E-06,2.47E-06,0.326381093
8/1/1951,2.35E-06,3.82E-06,0.325211808
9/1/1951,1.46E-07,2.47E-07,0.020048032
10/1/1951,7.23E-06,7.49E-06,0.776473232
11/1/1951,8.67E-06,1.45E-05,1.181090568
12/1/1951,8.99E-07,5.08E-06,0.315411022
1/1/1952,4.00E-06,6.12E-06,0.53391968
2/1/1952,3.83E-06,5.30E-06,0.450432279
3/1/1952,1.94E-06,6.76E-06,0.458851172
4/1/1952,2.41E-05,2.82E-05,2.667493684
5/1/1952,1.06E-06,1.17E-06,0.118013388
6/1/1952,3.63E-06,5.34E-06,0.457788182
7/1/1952,1.85E-05,1.86E-05,1.958307942
8/1/1952,1.90E-06,2.96E-06,0.256308665
9/1/1952,7.37E-06,7.60E-06,0.764036237
10/1/1952,3.58E-07,5.75E-07,0.049195274
11/1/1952,1.55E-06,5.49E-06,0.359546463
12/1/1952,1.09E-05,1.44E-05,1.335649565
1/1/1953,8.40E-06,1.05E-05,0.997022801
2/1/1953,1.59E-07,3.46E-07,0.024066141
3/1/1953,7.76E-06,9.06E-06,0.886748037
4/1/1953,8.73E-06,9.06E-06,0.907859047
5/1/1953,9.03E-06,1.15E-05,1.081955866
6/1/1953,1.07E-05,1.26E-05,1.187532249
7/1/1953,4.44E-06,4.39E-06,0.465271665
8/1/1953,2.06E-06,3.31E-06,0.283351179
9/1/1953,5.73E-07,5.54E-07,0.057465354
10/1/1953,3.68E-06,4.47E-06,0.429980308
11/1/1953,8.21E-06,9.50E-06,0.903670875
12/1/1953,3.09E-06,3.79E-06,0.362650393
1/1/1954,1.09E-05,1.80E-05,1.52086538
2/1/1954,1.38E-05,2.01E-05,1.613770839
3/1/1954,7.75E-06,1.33E-05,1.109189764
4/1/1954,6.63E-06,7.21E-06,0.706209452
5/1/1954,3.23E-06,4.04E-06,0.383123635
6/1/1954,8.31E-06,9.98E-06,0.933009432
7/1/1954,4.65E-06,3.85E-06,0.448199997
8/1/1954,0,0,0
9/1/1954,1.47E-06,1.23E-06,0.13776378
10/1/1954,0,0,0
11/1/1954,1.33E-05,1.50E-05,1.443607104
12/1/1954,9.78E-06,1.38E-05,1.242318898
1/1/1955,1.12E-06,5.29E-06,0.337691343
2/1/1955,7.50E-06,8.66E-06,0.769478739
3/1/1955,1.66E-06,2.86E-06,0.238152757
4/1/1955,6.39E-06,7.37E-06,0.702255116
5/1/1955,9.27E-06,9.16E-06,0.971978785
6/1/1955,7.13E-07,8.88E-07,0.081637795
7/1/1955,2.90E-06,3.36E-06,0.330080311
8/1/1955,1.65E-06,1.18E-06,0.149541731
9/1/1955,4.71E-06,7.45E-06,0.620234644
10/1/1955,3.31E-08,3.55E-08,0.003614173
11/1/1955,7.71E-06,7.86E-06,0.794288959
12/1/1955,4.21E-05,5.37E-05,5.052486572
1/1/1956,2.32E-05,3.14E-05,2.87894404
2/1/1956,3.02E-06,3.68E-06,0.33020787
3/1/1956,2.52E-07,2.76E-07,0.027829134
4/1/1956,1.93E-05,2.17E-05,2.088694471
5/1/1956,1.62E-05,1.75E-05,1.77341103
6/1/1956,4.12E-07,5.90E-07,0.051108661
7/1/1956,1.14E-05,1.15E-05,1.211619688
8/1/1956,0,0,0
9/1/1956,4.13E-06,5.64E-06,0.498777162
10/1/1956,1.99E-05,2.13E-05,2.1725859
11/1/1956,2.34E-07,4.05E-07,0.032612599
12/1/1956,2.66E-06,2.49E-06,0.271275581
1/1/1957,2.35E-06,3.00E-06,0.282394489
2/1/1957,1.44E-05,1.68E-05,1.486700787
3/1/1957,9.02E-06,6.96E-06,0.842081078
4/1/1957,9.98E-06,1.09E-05,1.064033858
5/1/1957,2.05E-05,2.18E-05,2.228159062
6/1/1957,1.04E-06,1.61E-06,0.13502126
7/1/1957,2.16E-07,3.45E-07,0.029593701
8/1/1957,5.55E-07,3.74E-07,0.049003935
9/1/1957,4.75E-06,6.64E-06,0.581137814
10/1/1957,1.09E-05,1.41E-05,1.320300039
