Date,Mono Lake Evap Rate(mm/day),Mono Lake 1000's of m^3/month,PerMonth (mm)
1/1/1985,0.97276384,59.493107,30.15567904
2/1/1985,0,0,0
3/1/1985,1.5859596,2035.0972,49.1647476
4/1/1985,2.1590984,5848.7573,64.772952
5/1/1985,3.720516,19509.662,115.335996
6/1/1985,4.8328514,25176.85,144.985542
7/1/1985,5.3357735,28714.64,165.4089785
8/1/1985,5.9660125,32154.469,184.9463875
9/1/1985,4.5699687,23839.664,137.099061
10/1/1985,3.552224,19412.299,110.118944
11/1/1985,2.3198302,11427.8545,69.594906
12/1/1985,1.4644719,2894.1765,45.3986289
1/1/1986,0.77447337,1622.4653,24.00867447
2/1/1986,0.9807215,3274.7886,27.460202
3/1/1986,1.3443555,4966.4937,41.6750205
4/1/1986,2.4509985,10189.768,73.529955
5/1/1986,3.6287968,19893,112.4927008
6/1/1986,4.9335423,26015.656,148.006269
7/1/1986,5.7252464,31189.363,177.4826384
8/1/1986,5.697433,31074.453,176.620423
9/1/1986,4.921913,25982.023,147.65739
10/1/1986,3.5944355,19819.633,111.4275005
11/1/1986,2.6573687,14026.449,79.721061
12/1/1986,1.6305376,7114.71,50.5466656
1/1/1987,1.2403749,1598.1189,38.4516219
2/1/1987,1.0527419,1283.4464,29.4767732
3/1/1987,1.4914794,2742.782,46.2358614
4/1/1987,2.2382658,8066.1562,67.147974
5/1/1987,3.0388381,16538.6,94.2039811
6/1/1987,4.4949603,23494.658,134.848809
7/1/1987,5.6974907,30763.516,176.6222117
8/1/1987,5.637256,30483.621,174.754936
9/1/1987,4.9429507,25871.064,148.288521
10/1/1987,3.5002654,19190.049,108.5082274
11/1/1987,2.4850929,13005.177,74.552787
12/1/1987,1.6820434,5154.41,52.1433454
1/1/1988,1.0680423,1043.0205,33.1093113
2/1/1988,1.082675,1854.5568,31.397575
3/1/1988,1.736022,5712.7607,53.816682
4/1/1988,2.3486662,9761.817,70.459986
5/1/1988,3.599994,19266.889,111.599814
6/1/1988,4.489895,22935.043,134.69685
7/1/1988,5.3184605,28057.592,164.8722755
8/1/1988,5.342069,28258.627,165.604139
9/1/1988,5.0931015,26080.162,152.793045
10/1/1988,3.6981285,20055.732,114.6419835
11/1/1988,2.6070287,13346.728,78.210861
12/1/1988,1.6944073,5179.0254,52.5266263
1/1/1989,1.1514173,338.60403,35.6939363
2/1/1989,0,0,0
3/1/1989,1.1390387,1203.9556,35.3101997
4/1/1989,2.2113135,9729.443,66.339405
5/1/1989,3.6076488,18603.795,111.8371128
6/1/1989,4.586638,22573.83,137.59914
7/1/1989,5.813683,29550.334,180.224173
8/1/1989,5.641937,28755.46,174.900047
9/1/1989,4.9582057,24462.646,148.746171
10/1/1989,3.751605,19604.697,116.299755
11/1/1989,2.6000478,12825.105,78.001434
12/1/1989,1.7595005,6975.334,54.5445155
1/1/1990,1.1997972,1914.3279,37.1937132
2/1/1990,0,0,0
3/1/1990,1.3802856,1335.808,42.7888536
4/1/1990,2.0919335,8489.67,62.758005
5/1/1990,3.6608636,18476.766,113.4867716
6/1/1990,4.8301034,23393.66,144.903102
7/1/1990,5.307441,26553.51,164.530671
8/1/1990,5.4872575,27498.416,170.1049825
9/1/1990,4.90797,23806.248,147.2391
10/1/1990,4.0712285,20715.172,126.2080835
11/1/1990,2.7304642,13242.359,81.913926
12/1/1990,1.7953876,4698.7563,55.6570156
1/1/1991,0,0,0
2/1/1991,0.9139862,968.869,25.5916136
3/1/1991,1.6889696,4810.483,52.3580576
4/1/1991,2.236141,4577.0176,67.08423
5/1/1991,3.196108,13769.105,99.079348
6/1/1991,4.3324323,20712.664,129.972969
7/1/1991,5.024655,24816.707,155.764305
8/1/1991,5.4079576,26742.14,167.6466856
9/1/1991,4.8668094,23292.89,146.004282
10/1/1991,4.0604568,20304.758,125.8741608
11/1/1991,2.6044767,12463.94,78.134301
12/1/1991,1.6987606,5600.3633,52.6615786
1/1/1992,1.1781524,1493.2511,36.5227244
2/1/1992,0.84807473,1311.5812,24.59416717
3/1/1992,1.2763766,3795.2234,39.5676746
4/1/1992,2.3678448,9554.652,71.035344
5/1/1992,3.652398,17884.684,113.224338
6/1/1992,4.6802564,22030.312,140.407692
7/1/1992,5.1367965,24978.607,159.2406915
8/1/1992,5.503402,26796.371,170.605462
9/1/1992,5.0852714,23965.127,152.558142
10/1/1992,3.7209787,18338.582,115.3503397
11/1/1992,2.6281424,12384.161,78.844272
12/1/1992,1.7592276,4663.734,54.5360556
1/1/1993,0.941174,52.109184,29.176394
2/1/1993,0,0,0
3/1/1993,1.0268764,1477.406,31.8331684
4/1/1993,2.3292189,9828.833,69.876567
5/1/1993,3.4770365,17172.049,107.7881315
6/1/1993,4.6961255,22339.967,140.883765
7/1/1993,5.8062434,28536.32,179.9935454
8/1/1993,5.8036637,28549.672,179.9135747
9/1/1993,5.1409945,24476.445,154.229835
10/1/1993,3.6139266,17928.818,112.0317246
11/1/1993,2.7695103,13184.717,83.085309
12/1/1993,1.5991846,4020.8901,49.5747226
1/1/1994,1.066116,1802.7943,33.049596
2/1/1994,1.1805931,1803.1769,33.0566068
3/1/1994,1.3644667,2920.414,42.2984677
4/1/1994,2.2667983,9850.53,68.003949
5/1/1994,3.1116495,15594.706,96.4611345
6/1/1994,5.102911,24591.99,153.08733
7/1/1994,5.698686,28371.408,176.659266
8/1/1994,6.0255656,30036.213,186.7925336
9/1/1994,4.9199405,23736.96,147.598215
10/1/1994,3.722474,18771.043,115.396694
11/1/1994,2.4678059,10714.532,74.034177
12/1/1994,1.3466076,2237.587,41.7448356
1/1/1995,0.7711548,1369.8376,23.9057988
2/1/1995,0.84283257,1803.034,23.59931196
3/1/1995,1.5991799,5676.63,49.5745769
4/1/1995,2.2078483,7554.869,66.235449
5/1/1995,2.73129,12921.014,84.66999
6/1/1995,3.983929,20119.77,119.51787
7/1/1995,5.176933,27008.463,160.484923
8/1/1995,5.898222,30814.914,182.844882
9/1/1995,5.2638745,26617.73,157.916235
10/1/1995,4.1611867,22025.309,128.9967877
11/1/1995,2.716397,13734.32,81.49191
12/1/1995,1.7916611,8944.708,55.5414941
1/1/1996,1.2544836,2703.567,38.8889916
2/1/1996,0.9809815,1695.2058,28.4484635
3/1/1996,1.5979961,4914.973,49.5378791
4/1/1996,2.5199482,10303.391,75.598446
5/1/1996,3.6455953,19878.816,113.0134543
6/1/1996,4.7977757,25102.787,143.933271
7/1/1996,5.4967427,29708.506,170.3990237
8/1/1996,6.1223674,33145.008,189.7933894
9/1/1996,5.3850307,28217.887,161.550921
10/1/1996,3.9333494,21624.342,121.9338314
11/1/1996,2.4435637,12802.627,73.306911
12/1/1996,1.5949847,5948.6934,49.4445257
1/1/1997,0.9990005,1886.3508,30.9690155
2/1/1997,1.1835027,2018.4702,33.1380756
3/1/1997,1.594573,4312.96,49.431763
4/1/1997,2.7399542,13803.021,82.198626
5/1/1997,3.3854754,18981.781,104.9497374
6/1/1997,4.841065,26126.365,145.23195
7/1/1997,5.4091496,30158.848,167.6836376
8/1/1997,5.745252,32066.496,178.102812
9/1/1997,4.975863,26879.402,149.27589
10/1/1997,4.1178327,23208.246,127.6528137
11/1/1997,2.3549087,12719.992,70.647261
12/1/1997,1.6956725,5888.9883,52.5658475
1/1/1998,0.9192681,1775.5133,28.4973111
2/1/1998,0.9594526,1673.7925,26.8646728
3/1/1998,1.2336735,2381.4912,38.2438785
