Date,Area,Evol,E_month (mm/month)
Jan-85,177.558,0.059,0.332285788
Feb-85,177.558,0,0
Mar-85,177.4,2.035,11.47125141
Apr-85,176.667,5.849,33.1074847
May-85,174.988,19.51,111.4933595
Jun-85,173.651,25.177,144.986208
Jul-85,173.598,28.715,165.4108918
Aug-85,173.858,32.154,184.9440348
Sep-85,173.886,23.84,137.1013193
Oct-85,176.285,19.412,110.1171399
Nov-85,173.864,11.428,65.72953573
Dec-85,173.864,2.894,16.64519394
Jan-86,178.884,1.622,9.067328548
Feb-86,178.884,3.275,18.30795376
Mar-86,178.758,4.966,27.78057486
Apr-86,178.174,10.19,57.19128492
May-86,176.838,19.893,112.49279
Jun-86,175.774,26.016,148.0082379
Jul-86,175.732,31.189,177.4804816
Aug-86,175.939,31.074,176.6180324
Sep-86,175.962,25.982,147.6568805
Oct-86,177.87,19.82,111.4296958
Nov-86,175.944,14.026,79.71854681
Dec-86,175.944,7.115,40.43900332
Jan-87,178.122,1.598,8.971379167
Feb-87,178.122,1.283,7.20292833
Mar-87,177.965,2.743,15.41314303
Apr-87,177.234,8.066,45.5104551
May-87,175.562,16.539,94.20603547
Jun-87,174.23,23.495,134.850485
Jul-87,174.177,30.764,176.6249275
Aug-87,174.436,30.484,174.7575042
Sep-87,174.464,25.871,148.2884721
Oct-87,176.853,19.19,108.5081961
Nov-87,174.443,13.005,74.55157272
Dec-87,174.443,5.154,29.54546757
Jan-88,177.201,1.043,5.885971298
Feb-88,177.201,1.855,10.46833821
Mar-88,176.92,5.713,32.29143116
Apr-88,175.619,9.762,55.58624067
May-88,172.643,19.267,111.6002386
Jun-88,170.272,22.935,134.6962507
Jul-88,170.178,28.058,164.8744256
Aug-88,170.64,28.259,165.6059541
Sep-88,170.689,26.08,152.7925057
Oct-88,174.942,20.056,114.6437105
Nov-88,170.651,13.347,78.21225777
Dec-88,170.651,5.179,30.34848902
Jan-89,170.754,0.339,1.985312204
Feb-89,170.754,0,0
Mar-89,170.483,1.204,7.062287735
Apr-89,169.225,9.729,57.49150539
May-89,166.347,18.604,111.8385063
Jun-89,164.055,22.574,137.6001951
Jul-89,163.964,29.55,180.2224879
Aug-89,164.411,28.755,174.8970568
Sep-89,164.459,24.463,148.7483203
Oct-89,168.57,19.605,116.3018331
Nov-89,164.421,12.825,78.00098528
Dec-89,164.421,6.975,42.42158848
Jan-90,165.436,1.914,11.56942866
Feb-90,165.436,0,0
Mar-90,165.275,1.336,8.083497202
Apr-90,164.525,8.49,51.60309983
May-90,162.81,18.477,113.488115
Jun-90,161.443,23.394,144.9056323
Jul-90,161.389,26.554,164.534138
Aug-90,161.656,27.498,170.1019449
Sep-90,161.684,23.806,147.2378219
Oct-90,164.135,20.715,126.2070856
Nov-90,161.662,13.242,81.91164281
Dec-90,161.662,4.699,29.06681842
Jan-91,162.252,0,0
Feb-91,162.252,0.969,5.972191406
Mar-91,162.135,4.81,29.66663583
Apr-91,161.592,4.577,28.324422
May-91,160.351,13.769,85.86787734
Jun-91,159.361,20.713,129.975339
Jul-91,159.322,24.817,155.7663097
Aug-91,159.515,26.742,167.645676
Sep-91,159.536,23.293,146.0046635
Oct-91,161.31,20.305,125.8756432
Nov-91,159.519,12.464,78.13489302
Dec-91,159.519,5.6,35.10553602
Jan-92,159.987,1.493,9.332008226
Feb-92,159.987,1.312,8.200666304
Mar-92,159.862,3.795,23.73922508
Apr-92,159.283,9.555,59.98756929
May-92,157.958,17.885,113.2263007
Jun-92,156.902,22.03,140.4061134
Jul-92,156.861,24.979,159.2428966
Aug-92,157.066,26.796,170.6034406
Sep-92,157.088,23.965,152.557802
Oct-92,158.982,18.339,115.3526814
Nov-92,157.071,12.384,78.84332563
Dec-92,157.071,4.664,29.69357806
Jan-93,160.741,0.052,0.323501782
Feb-93,160.741,0,0
Mar-93,160.653,1.477,9.193728097
Apr-93,160.245,9.829,61.33732722
May-93,159.313,17.172,107.7878139
Jun-93,158.57,22.34,140.8841521
Jul-93,158.541,28.536,179.9912956
Aug-93,158.685,28.55,179.9161862
Sep-93,158.701,24.476,154.2271315
Oct-93,160.033,17.929,112.0331432
Nov-93,158.689,13.185,83.08704447
Dec-93,158.689,4.021,25.33887037
Jan-94,163.644,1.803,11.01781917
Feb-94,163.644,1.803,11.01781917
Mar-94,163.523,2.92,17.85681525
Apr-94,162.959,9.851,60.45078824
May-94,161.668,15.595,96.46312195
Jun-94,160.64,24.592,153.0876494
Jul-94,160.6,28.371,176.6562889
Aug-94,160.8,30.036,186.7910448
Sep-94,160.821,23.737,147.5988832
Oct-94,162.665,18.771,115.3966741
Nov-94,160.805,10.715,66.6335002
Dec-94,160.805,2.238,13.91747769
Jan-95,171.904,1.37,7.969564408
Feb-95,171.904,1.803,10.48841214
Mar-95,171.76,5.677,33.05193293
Apr-95,171.091,7.555,44.15778738
May-95,169.56,12.921,76.20311394
Jun-95,168.341,20.12,119.519309
Jul-95,168.293,27.008,160.4820165
Aug-95,168.53,30.815,182.8457841
Sep-95,168.556,26.618,157.9178433
Oct-95,170.743,22.025,128.9950393
Nov-95,168.536,13.734,81.49000807
Dec-95,168.536,8.945,53.07471401
Jan-96,178.766,2.704,15.1259188
Feb-96,178.766,1.695,9.481668774
Mar-96,178.59,4.915,27.5211378
Apr-96,177.771,10.303,57.95658459
May-96,175.898,19.879,113.0143606
Jun-96,174.406,25.103,143.9342683
Jul-96,174.347,29.709,170.4015555
Aug-96,174.637,33.145,189.7936863
Sep-96,174.669,28.218,161.551277
Oct-96,177.345,21.624,121.9318278
Nov-96,174.644,12.803,73.30913172
Dec-96,174.644,5.949,34.06358077
Jan-97,182.733,1.886,10.32106954
Feb-97,182.733,2.018,11.04343496
Mar-97,182.618,4.313,23.61760615
Apr-97,182.085,13.803,75.80525579
May-97,180.865,18.982,104.9512067
Jun-97,179.894,26.126,145.2299688
Jul-97,179.856,30.159,167.6841473
Aug-97,180.045,32.066,178.0999195
Sep-97,180.065,26.879,149.2738733
Oct-97,181.808,23.208,127.6511485
Nov-97,180.049,12.72,70.64743486
Dec-97,180.049,5.889,32.70776289
Jan-98,186.914,1.776,9.501695967
Feb-98,186.914,1.674,8.955990456
Mar-98,186.814,2.381,12.74529746
Apr-98,186.348,7.535,40.43509992
May-98,185.284,13.178,71.12324863
Jun-98,184.435,19.566,106.086155
Jul-98,184.402,26.525,143.8433423
Aug-98,184.567,33.352,180.7040262
Sep-98,184.585,26.507,143.603218
Oct-98,186.106,23.064,123.9293736
Nov-98,184.571,13.679,74.11240119
Dec-98,184.571,5.266,28.531026
Jan-99,187.612,0.066,0.351789864
Feb-99,187.612,0,0
Mar-99,187.531,1.86,9.918360164
Apr-99,187.159,8.731,46.65017445
May-99,186.306,15.521,83.30917952
Jun-99,185.627,26.371,142.0644626
Jul-99,185.6,32.936,177.4568966
Aug-99,185.733,32.431,174.6108661
Sep-99,185.747,26.983,145.2674875
Oct-99,186.965,23.978,128.2486027
Nov-99,185.736,15.675,84.39397855
Dec-99,185.736,10.557,56.83873886
Jan-00,187.143,2.151,11.49388436
Feb-00,187.143,1.816,9.703809386
Mar-00,187.082,5.016,26.81177238
Apr-00,186.798,11.203,59.97387552
May-00,186.147,21.661,116.3650233
Jun-00,185.629,27.464,147.9510206
Jul-00,185.609,35.436,190.9174663
Aug-00,185.71,33.051,177.9710301
Sep-00,185.721,28.695,154.5059525
Oct-00,186.65,21.326,114.2566301
Nov-00,185.712,13.777,74.1847592
Dec-00,185.712,3.125,16.82713018
1-Jan,186.729,2.171,11.62647473
1-Feb,186.729,0.689,3.689839286
1-Mar,186.632,3.04,16.28873934
1-Apr,186.177,10.248,55.04439324
1-May,185.138,20.282,109.5507135
1-Jun,184.31,31.463,170.7069611
1-Jul,184.278,33.309,180.7540781
1-Aug,184.439,34.41,186.565748
1-Sep,184.456,29.513,160.0002169
1-Oct,185.941,23.418,125.9431755
1-Nov,184.443,14.503,78.63133868
1-Dec,184.443,7.049,38.21776918
2-Jan,184.97,2.087,11.28291074
2-Feb,184.97,2.006,10.84500189
2-Mar,184.876,3.518,19.02897077
2-Apr,184.443,9.132,49.51123111
2-May,183.451,20.856,113.6870336
