Date,Runoff Average (acre-ft/day),TNC_Nat,DNC_Nat,Yearly_VIC,Yearly_TNC
1950-01,2134.353835,4055.057539,,56250.50545,143564.7468
1950-02,1918.013654,4772.490814,,,
1950-03,14112.48314,6034.716819,,,
1950-04,12101.75686,9103.026631,,,
1950-05,8909.449644,24079.61589,,,
1950-06,8176.797912,29493.33992,,,
1950-07,8133.47278,13735.50752,,,
1950-08,259.9524066,5631.693198,,,
1950-09,0,4789.743992,,,
1950-10,223.1818717,3798.439828,,,
1950-11,213.8260049,17611.57493,,,
1950-12,67.21734307,20459.53968,,,
1951-01,270.4408732,12065.80439,,38455.73436,148560.6265
1951-02,1930.75887,10754.39201,,,
1951-03,13516.82465,9533.485144,,,
1951-04,7327.264702,13923.81798,,,
1951-05,5647.323697,34274.78626,,,
1951-06,1021.729861,29100.36751,,,
1951-07,332.422763,14085.731,,,
1951-08,39.49032462,5454.060341,,,
1951-09,8.912472421,3792.824573,,,
1951-10,2.828926938,3190.251061,,,
1951-11,6639.840343,4311.316018,,,
1951-12,1717.896877,8073.790206,,,
1952-01,2257.455166,8537.283251,,93781.33047,222026.3549
1952-02,1087.982998,7106.754505,,,
1952-03,9888.904542,7217.41254,,,
1952-04,7353.355918,14849.86846,,,
1952-05,29855.99544,48687.22824,,,
1952-06,29860.71213,55853.30044,,,
1952-07,10589.69249,39718.90841,,,
1952-08,1311.450203,15123.68682,,,
1952-09,138.7029772,9893.414377,,,
1952-10,515.3832726,5807.121596,,,
1952-11,544.4535389,4124.620489,,,
1952-12,377.2417976,5106.755734,,,
1953-01,874.2864999,5117.666272,,72706.44987,117656.7843
1953-02,4106.434652,5411.380958,,,
1953-03,3555.591711,6025.076503,,,
1953-04,24113.8939,7459.889141,,,
1953-05,10831.58395,21567.44428,,,
1953-06,25472.30089,31656.14975,,,
1953-07,2640.164434,17931.14631,,,
1953-08,180.216944,7238.192832,,,
1953-09,414.8122036,4479.791321,,,
1953-10,74.24120221,3213.369217,,,
1953-11,283.0194699,3570.365587,,,
1953-12,159.9040167,3986.31216,,,
1954-01,207.0216303,4123.324352,,20673.0458,124877.7604
1954-02,1984.245443,5314.936941,,,
1954-03,4020.310384,6926.981414,,,
1954-04,5666.877991,12962.75918,,,
1954-05,2707.201654,29669.26649,,,
1954-06,817.6296359,31064.89429,,,
1954-07,1468.272618,14844.40614,,,
1954-08,976.7509333,5300.780616,,,
1954-09,166.0058237,3870.565828,,,
1954-10,105.5644813,2815.481198,,,
1954-11,2311.418571,3524.057982,,,
1954-12,241.7466389,4460.305925,,,
1955-01,199.0183368,4194.771242,,18256.29126,125324.2934
1955-02,1322.425161,4990.103773,,,
1955-03,3042.431625,6461.020908,,,
1955-04,5333.048626,7829.948839,,,
1955-05,4565.277175,24116.89492,,,
1955-06,1015.166873,32089.81679,,,
1955-07,721.2669231,14410.00081,,,
1955-08,456.9087311,6169.504246,,,
1955-09,269.6428826,4175.459425,,,
1955-10,37.08484997,2993.914168,,,
1955-11,74.12253585,2860.236126,,,
1955-12,1219.897541,15032.62215,,,
1956-01,382.1385621,11835.38008,,21399.84309,193460.6837
1956-02,666.7171011,8572.12675,,,
1956-03,1672.902585,9581.484853,,,
1956-04,6331.148423,14006.58855,,,
1956-05,6026.322797,39749.08143,,,
1956-06,3191.180158,48760.3759,,,
1956-07,408.5997016,29073.43337,,,
1956-08,39.03029228,10861.5914,,,
1956-09,368.3233662,6903.029429,,,
1956-10,210.5229072,4922.721545,,,
1956-11,1976.329393,4974.263867,,,
1956-12,126.627802,4220.606506,,,
1957-01,902.9124778,4344.967093,,31501.15115,103407.8298
1957-02,2867.971464,4880.392274,,,
1957-03,8981.130229,6761.43896,,,
1957-04,3728.008741,8706.151742,,,
1957-05,6596.444312,21202.5004,,,
1957-06,1135.466554,29048.08565,,,
1957-07,334.2722234,10542.261,,,
1957-08,444.1858831,4512.684608,,,
1957-09,2918.220327,3275.732122,,,
1957-10,1154.140374,2947.24533,,,
1957-11,1312.243754,3659.16588,,,
1957-12,1126.154814,3527.204705,,,
1958-01,2751.304072,3304.248005,,98028.76497,152986.0016
1958-02,6061.353667,5599.603273,,,
1958-03,13035.29447,7427.57142,,,
1958-04,11253.37764,10876.34757,,,
1958-05,15072.76481,33336.55547,,,
1958-06,21672.49685,41650.80319,,,
1958-07,21661.66293,22671.8166,,,
1958-08,3497.544711,10336.56228,,,
1958-09,483.9800426,6394.818868,,,
1958-10,759.2345708,4237.884538,,,
1958-11,1024.508515,3637.840778,,,
1958-12,755.2426983,3511.949624,,,
1959-01,514.2372365,3593.58289,,57120.84177,90689.5081
1959-02,1562.296466,5098.080112,,,
1959-03,5438.482567,7061.845739,,,
1959-04,27244.12002,10354.13485,,,
1959-05,11676.45109,21061.65705,,,
1959-06,4604.771937,21411.24141,,,
1959-07,4789.163569,7138.101642,,,
1959-08,325.1014048,3307.824862,,,
1959-09,30.31550404,3665.481926,,,
1959-10,452.2812726,2699.233825,,,
1959-11,154.4519211,2704.948942,,,
1959-12,329.1687806,2593.374848,,,
1960-01,479.5845563,3000.570063,,43008.28426,97162.97862
1960-02,2422.461588,4629.301137,,,
1960-03,16301.89547,6988.26537,,,
1960-04,5947.149765,9011.347103,,,
1960-05,7336.832033,21569.64989,,,
1960-06,7357.59442,25954.53268,,,
1960-07,2023.55494,8674.605028,,,
1960-08,335.309995,4199.834415,,,
1960-09,85.83258478,2957.674591,,,
1960-10,285.3277848,2697.757823,,,
1960-11,384.9251584,3372.363844,,,
1960-12,47.81597044,4107.076672,,,
1961-01,101.0770611,3221.322015,,79473.36524,96623.5503
1961-02,6559.00129,3818.844975,,,
1961-03,13257.75121,5594.622884,,,
1961-04,6489.470157,8370.433981,,,
1961-05,21302.30895,21028.80662,,,
1961-06,23685.72061,25388.59405,,,
1961-07,6840.217489,9761.11957,,,
1961-08,813.9040814,4712.857015,,,
1961-09,313.1483742,3759.024987,,,
1961-10,3.637565529,3418.53392,,,
1961-11,20.40853865,3479.497674,,,
1961-12,86.71990793,4069.892603,,,
1962-01,2706.985639,3151.750881,,37430.36238,150142.5457
1962-02,2118.236548,6676.421115,,,
1962-03,6769.48577,6338.905386,,,
1962-04,13865.74023,13658.24197,,,
1962-05,4306.252081,30846.24484,,,
1962-06,1172.581908,37040.4079,,,
1962-07,265.6222303,22617.72511,,,
1962-08,242.8640245,9217.314848,,,
1962-09,1765.479286,6791.044808,,,
1962-10,1493.90168,5279.314813,,,
1962-11,551.0754761,4601.286984,,,
1962-12,2172.137511,3923.88707,,,
1963-01,3799.823058,8271.769908,,142909.4981,194715.3111
1963-02,3350.431254,6600.476678,,,
1963-03,8860.823019,8106.421468,,,
1963-04,10676.82936,10211.91341,,,
1963-05,27607.34578,36512.18617,,,
1963-06,66862.60675,59563.91488,,,
1963-07,17210.47199,28488.51307,,,
1963-08,2410.101412,11507.53043,,,
1963-09,209.8686104,8404.698338,,,
1963-10,175.2142352,5506.963121,,,
1963-11,1086.335391,5862.653511,,,
1963-12,659.647241,5678.270076,,,
1964-01,1884.684852,5038.849536,,78821.23707,114945.6749
