Date,"(38.0,-119.375)","(38.0,-118.75)",Inches/Month,,,,
1/1/1980,8.36E-06,5.94E-06,0.753959055,20.92529764,,,"((AVERAGE(B3:C3))*60*60*24*DAY(EOMONTH(A3,0)))/25.4"
2/1/1980,1.38E-05,1.00E-05,1.173883465,,,,
3/1/1980,1.88E-05,1.66E-05,1.866444094,,,,
4/1/1980,1.68E-05,2.76E-05,2.265448819,,,,
5/1/1980,2.80E-05,2.91E-05,3.01056378,,,,
6/1/1980,4.08E-05,3.50E-05,3.867590551,,,,
7/1/1980,3.80E-05,2.63E-05,3.390179528,,,,
8/1/1980,1.91E-05,1.58E-05,1.84008189,,,,
9/1/1980,1.10E-05,1.00E-05,1.071496063,,,,
10/1/1980,6.91E-06,5.36E-06,0.646928504,,,,
11/1/1980,6.06E-06,3.83E-06,0.504623622,,,,
12/1/1980,6.75E-06,3.38E-06,0.534098268,,,,
1/1/1981,6.13E-06,3.49E-06,0.507208819,30.32957362,,,
2/1/1981,1.21E-05,7.57E-06,0.936725669,,,,
3/1/1981,1.72E-05,1.27E-05,1.576459843,,,,
4/1/1981,2.70E-05,2.16E-05,2.479748031,,,,
5/1/1981,2.65E-05,1.99E-05,2.446412598,,,,
6/1/1981,2.79E-05,2.10E-05,2.495055118,,,,
7/1/1981,1.63E-05,1.29E-05,1.539552756,,,,
8/1/1981,8.07E-06,4.29E-06,0.651673701,,,,
9/1/1981,5.07E-06,3.97E-06,0.461253543,,,,
10/1/1981,9.04E-06,6.00E-06,0.792975118,,,,
11/1/1981,9.41E-06,6.31E-06,0.802091339,,,,
12/1/1981,7.82E-06,4.99E-06,0.675399685,,,,
1/1/1982,7.79E-06,5.19E-06,0.684362835,44.60662844,,,
2/1/1982,1.17E-05,1.03E-05,1.047685039,,,,
3/1/1982,1.72E-05,1.63E-05,1.766267717,,,,
4/1/1982,1.74E-05,2.57E-05,2.19911811,,,,
5/1/1982,3.65E-05,3.31E-05,3.669618898,,,,
6/1/1982,3.43E-05,2.74E-05,3.14815748,,,,
7/1/1982,3.73E-05,2.68E-05,3.379634646,,,,
8/1/1982,2.52E-05,1.98E-05,2.372598425,,,,
9/1/1982,1.52E-05,1.34E-05,1.459275591,,,,
10/1/1982,1.36E-05,9.52E-06,1.218988346,,,,
11/1/1982,1.10E-05,6.82E-06,0.909240945,,,,
12/1/1982,1.02E-05,5.44E-06,0.824609764,,,,
1/1/1983,9.10E-06,5.33E-06,0.760813228,45.97017809,,,
2/1/1983,9.82E-06,9.27E-06,0.909104882,,,,
3/1/1983,1.50E-05,1.68E-05,1.67663622,,,,
4/1/1983,2.01E-05,2.23E-05,2.163401575,,,,
5/1/1983,2.61E-05,3.79E-05,3.374362205,,,,
6/1/1983,4.29E-05,4.06E-05,4.260472441,,,,
7/1/1983,3.85E-05,3.03E-05,3.62743937,,,,
8/1/1983,2.50E-05,2.14E-05,2.446412598,,,,
9/1/1983,1.66E-05,1.50E-05,1.612346457,,,,
10/1/1983,1.08E-05,8.79E-06,1.032871181,,,,
11/1/1983,1.10E-05,6.37E-06,0.886280315,,,,
12/1/1983,5.99E-06,5.38E-06,0.599476535,,,,
1/1/1984,8.99E-06,6.21E-06,0.801411024,41.42833421,,,
2/1/1984,1.30E-05,1.22E-05,1.242935433,,,,
3/1/1984,1.67E-05,1.90E-05,1.882261417,,,,
4/1/1984,2.78E-05,2.36E-05,2.622614173,,,,
5/1/1984,3.81E-05,2.79E-05,3.479811024,,,,
6/1/1984,3.45E-05,2.12E-05,2.842015748,,,,
7/1/1984,2.96E-05,2.11E-05,2.673127559,,,,
8/1/1984,1.85E-05,1.87E-05,1.961348031,,,,
9/1/1984,1.02E-05,1.16E-05,1.112314961,,,,
10/1/1984,9.23E-06,6.99E-06,0.855189921,,,,
11/1/1984,1.15E-05,6.58E-06,0.922507087,,,,
12/1/1984,8.50E-06,4.23E-06,0.671181732,,,,
1/1/1985,9.20E-06,4.49E-06,0.721797165,32.28906397,,,
2/1/1985,1.20E-05,8.93E-06,0.996729449,,,,
3/1/1985,1.84E-05,1.33E-05,1.67136378,,,,
4/1/1985,2.77E-05,2.06E-05,2.464440945,,,,
5/1/1985,2.44E-05,1.86E-05,2.267149606,,,,
6/1/1985,2.63E-05,1.98E-05,2.352188976,,,,
7/1/1985,1.72E-05,1.53E-05,1.713543307,,,,
8/1/1985,8.91E-06,5.87E-06,0.779266772,,,,
9/1/1985,1.20E-05,1.00E-05,1.122519685,,,,
10/1/1985,1.05E-05,8.12E-06,0.981728504,,,,
11/1/1985,8.76E-06,5.58E-06,0.73167874,,,,
12/1/1985,6.72E-06,3.80E-06,0.554660787,,,,
1/1/1986,7.74E-06,6.18E-06,0.73392378,38.65857568,,,
2/1/1986,1.26E-05,1.11E-05,1.12864252,,,,
3/1/1986,1.20E-05,2.00E-05,1.687181102,,,,
4/1/1986,2.63E-05,2.92E-05,2.831811024,,,,
5/1/1986,3.72E-05,3.55E-05,3.833064567,,,,
6/1/1986,3.75E-05,2.93E-05,3.408377953,,,,
7/1/1986,2.40E-05,1.93E-05,2.282966929,,,,
8/1/1986,1.56E-05,1.62E-05,1.67663622,,,,
9/1/1986,8.98E-06,7.46E-06,0.838828346,,,,
10/1/1986,6.44E-06,4.64E-06,0.584186457,,,,
11/1/1986,3.30E-06,1.86E-06,0.26328189,,,,
12/1/1986,4.21E-06,2.32E-06,0.344290394,,,,
1/1/1987,8.92E-06,4.12E-06,0.687526299,25.61830949,,,
2/1/1987,1.30E-05,6.17E-06,0.912914646,,,,
3/1/1987,1.70E-05,1.01E-05,1.428831496,,,,
4/1/1987,2.03E-05,1.49E-05,1.796031496,,,,
5/1/1987,1.89E-05,1.52E-05,1.797902362,,,,
6/1/1987,2.24E-05,2.00E-05,2.163401575,,,,
7/1/1987,1.38E-05,1.48E-05,1.50791811,,,,
8/1/1987,7.35E-06,4.60E-06,0.630056693,,,,
9/1/1987,4.18E-06,2.36E-06,0.333694488,,,,
10/1/1987,4.76E-06,4.26E-06,0.475574173,,,,
11/1/1987,7.93E-06,5.34E-06,0.677083465,,,,
12/1/1987,7.00E-06,3.71E-06,0.564678425,,,,
1/1/1988,8.57E-06,5.18E-06,0.72496063,27.55042528,,,
2/1/1988,1.22E-05,8.29E-06,1.010624882,,,,
3/1/1988,1.79E-05,1.25E-05,1.602822047,,,,
4/1/1988,1.96E-05,1.46E-05,1.745007874,,,,
5/1/1988,2.30E-05,1.82E-05,2.172245669,,,,
6/1/1988,2.11E-05,1.85E-05,2.020535433,,,,
7/1/1988,1.73E-05,1.59E-05,1.750450394,,,,
8/1/1988,9.92E-06,8.35E-06,0.963274961,,,,
9/1/1988,6.59E-06,5.10E-06,0.596466142,,,,
10/1/1988,2.49E-06,1.88E-06,0.230405669,,,,
11/1/1988,8.79E-06,3.82E-06,0.643407874,,,,
12/1/1988,6.48E-06,3.74E-06,0.538843465,,,,
1/1/1989,9.84E-06,4.50E-06,0.756068031,33.21708703,,,
2/1/1989,1.23E-05,7.93E-06,0.963394016,,,,
3/1/1989,1.82E-05,1.43E-05,1.713543307,,,,
4/1/1989,2.74E-05,1.83E-05,2.331779528,,,,
5/1/1989,2.63E-05,1.91E-05,2.393688189,,,,
6/1/1989,2.78E-05,2.05E-05,2.464440945,,,,
7/1/1989,1.90E-05,1.66E-05,1.876988976,,,,
8/1/1989,1.19E-05,1.37E-05,1.349744882,,,,
9/1/1989,1.06E-05,8.73E-06,0.986286614,,,,
10/1/1989,9.72E-06,7.43E-06,0.904223622,,,,
11/1/1989,7.58E-06,4.64E-06,0.623508661,,,,
12/1/1989,6.18E-06,2.72E-06,0.469247244,,,,
1/1/1990,9.88E-06,4.80E-06,0.773994331,28.9935019,,,
2/1/1990,1.11E-05,7.02E-06,0.862911496,,,,
3/1/1990,1.85E-05,1.19E-05,1.602822047,,,,
4/1/1990,2.25E-05,1.55E-05,1.938897638,,,,
5/1/1990,2.31E-05,1.70E-05,2.114248819,,,,
6/1/1990,2.65E-05,1.93E-05,2.33688189,,,,
7/1/1990,1.99E-05,1.71E-05,1.95080315,,,,
8/1/1990,1.17E-05,9.00E-06,1.091395276,,,,
9/1/1990,7.71E-06,5.10E-06,0.653612598,,,,
10/1/1990,5.00E-06,4.94E-06,0.52408063,,,,
11/1/1990,5.23E-06,2.50E-06,0.394412598,,,,
12/1/1990,5.89E-06,2.97E-06,0.467138268,,,,
1/1/1991,4.37E-06,2.60E-06,0.367489134,30.81421541,,,
2/1/1991,6.04E-06,4.28E-06,0.491459528,,,,
3/1/1991,1.62E-05,1.19E-05,1.481555906,,,,
4/1/1991,2.28E-05,1.87E-05,2.117480315,,,,
5/1/1991,2.79E-05,2.01E-05,2.530771654,,,,
6/1/1991,3.25E-05,2.07E-05,2.714456693,,,,
7/1/1991,2.58E-05,1.82E-05,2.319874016,,,,
8/1/1991,1.27E-05,8.43E-06,1.114066772,,,,
9/1/1991,8.21E-06,6.85E-06,0.768415748,,,,
10/1/1991,6.61E-06,3.50E-06,0.53304378,,,,
